player_id,team_id,player_name,team,position,assists_x,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,attacking_rank,defensive_rank,creativity_rank,attacking_score,defensive_score,creativity_score,competition_stage,goals,assists_y,total_competition_minutes_played,fdcp_top_scorer_rank
308322,285023_43922,Nicolas Tagliafico,Argentina,DF,0,0,0,0,0,0,0,0.0,0x,0,0,3,24,5,1,5,0,0,0,1,81,91,1,100,3,33,0,0,,,,60,19,15,26,10,50,2,12,17,158,4.67,191,57,16660.3,,,,,,,,0.0,0.0,165.0,927.0
308370,285023_43924,Alisson,Brazil,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,132,81,0,0,3,0,1,100,15.0,67.0,59.0,19,0,0,19,14,5,0,0,0,266,3.07,16,2,26656.8,,,,,,,Round of 16,0.0,0.0,520.0,1286.0
308386,285023_43924,Casemiro,Brazil,MF,0,2,4,25,2,2,2,0.66,1.51x,0,0,20,103,26,6,6,2,0,0,0,224,89,4,25,8,50,4,100,,,,114,6,37,71,85,29,2,15,79,487,6.37,449,116,45002.51,118.0,12.0,262.0,5.127452850341797,6.8477463722229,5.368953704833984,Round of 16,1.0,0.0,425.0,161.0
310116,285023_43922,Nicolas Otamendi,Argentina,DF,0,0,1,0,1,0,1,0.07,0x,0,0,1,12,7,3,0,0,0,0,1,138,96,0,0,1,100,1,100,,,,20,0,0,20,8,12,0,1,16,279,4.3,165,40,14946.7,207.0,81.0,224.0,4.715653896331787,6.001067638397217,5.538074970245361,Round of 16,0.0,0.0,156.0,911.0
311558,285023_43971,Granit Xhaka,Switzerland,MF,0,1,5,20,1,4,0,1.01,0.99x,0,0,22,57,11,1,9,1,0,0,0,309,90,1,0,7,43,7,100,,,,198,2,66,130,146,52,0,22,73,659,6.63,703,138,44673.07,,,,,,,,1.0,0.0,403.0,158.0
313559,285023_43971,Ricardo Rodriguez,Switzerland,DF,0,0,1,0,0,1,0,0.02,0x,4,0,16,36,9,9,1,0,0,0,0,221,81,13,8,19,37,4,50,,,,69,32,23,14,11,58,3,28,54,452,5.94,389,148,39121.21,296.0,57.0,140.0,4.509054183959961,6.232437133789063,5.872527599334717,Round of 16,0.0,0.0,394.0,1198.0
314197,285023_43924,Neymar Jr,Brazil,FW,0,2,3,33,3,0,0,0.82,1.22x,5,0,0,39,7,1,1,1,0,0,0,26,81,7,14,2,0,0,0,,,,32,2,21,9,19,13,1,11,8,72,2.59,71,18,5846.42,,,,,,,,1.0,0.0,55.0,85.0
314255,285023_43817,Hossein Hosseini,IR Iran,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,0.0,264.0
315614,285023_43926,Santiago Arias,Colombia,DF,0,0,0,0,0,0,0,0.0,0x,0,0,5,12,1,1,0,0,0,0,0,43,86,5,80,1,100,0,0,,,,28,17,7,4,5,23,4,9,16,95,1.51,80,50,9047.2,,,,,,,,0.0,0.0,89.0,774.0
316002,285023_43934,David Alaba,Austria,DF,1,0,2,0,0,2,0,0.02,0x,1,0,5,28,9,2,0,0,0,0,0,222,89,1,0,5,80,1,0,,,,40,3,7,30,17,23,0,4,54,441,5.93,297,70,29617.98,,,,,,,,0.0,1.0,302.0,233.0
318647,285023_43928,Gatito Fernandez,Paraguay,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,0.0,264.0
321697,285023_43976,Mathew Leckie,Australia,FW,0,0,1,0,1,0,0,0.1,0x,0,0,2,30,4,1,1,0,0,0,0,10,70,1,0,0,0,0,0,,,,7,3,3,1,6,1,1,9,14,33,1.64,100,31,7358.47,,,,,,,,0.0,0.0,67.0,722.0
