player_id,team_id,player_name,team,position,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,source_tab,story_id,classification
441316,285023_20014,Yoane Wissa,Congo DR,FW,5,7,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
407993,285023_43835,Mohamed Kanno,Saudi Arabia,MF,5,0,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
403289,285023_43819,Takehiro Tomiyasu,Japan,DF,5,2,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
448531,285023_43860,Antoine Semenyo,Ghana,MF,5,1,0,0,0,4,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
506279,285023_43860,Caleb Yirenkyi,Ghana,MF,5,3,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
397775,285023_43908,Carlens Arcus,Haiti,DF,5,3,1,0,0,2,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
423941,285023_43899,Nathan Saliba,Canada,MF,5,2,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
466838,285023_43908,Danley Jean Jacques,Haiti,MF,5,3,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
480322,285023_43899,Luc De Fougerolles,Canada,DF,5,6,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
431693,285023_43908,Frantzdy Pierrot,Haiti,FW,5,4,1,0,0,2,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
390475,285023_43883,Sphephelo Sithole,South Africa,MF,5,1,0,1,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
448140,285023_43960,Micky Van De Ven,Netherlands,DF,5,1,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
483497,285023_43961,Fredrik Aursnes,Norway,MF,5,1,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
369419,285023_43942,Harry Kane,England,FW,5,4,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
401378,285023_43948,Jonathan Tah,Germany,DF,5,1,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
429642,285023_43948,Jamal Musiala,Germany,MF,5,11,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
448360,285023_43935,Brandon Mechele,Belgium,DF,5,1,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
430176,285023_43960,Ryan Gravenberch,Netherlands,MF,5,3,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
398588,285023_43961,Alexander Sorloth,Norway,FW,5,2,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
430070,285023_43938,Ante Budimir,Croatia,FW,5,2,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
473050,285023_43926,Richard Rios,Colombia,MF,5,2,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
419020,285023_43927,Gonzalo Plata,Ecuador,FW,5,2,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
308386,285023_43924,Casemiro,Brazil,MF,5,4,2,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
395581,285023_43914,Cristian Martinez,Panama,MF,5,5,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
463902,285023_43926,Gustavo Puerta,Colombia,DF,5,4,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
390259,285023_43921,Weston Mckennie,USA,MF,5,1,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
