player_id,team_id,player_name,team,position,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,attacking_rank,defensive_rank,creativity_rank,attacking_score,defensive_score,creativity_score,competition_stage,goals,total_competition_minutes_played,fdcp_top_scorer_rank,assists,is_active
418963,285023_43922,Facundo Medina,Argentina,DF,0,0,0,0,0,0,0.0,0.0,0,0,12,58,14,3,2,1,0,0,1,139,94,4,50,1,100,0,0,,,,124,41,33,50,25,99,5,19,41,281,4.64,328,103,28709.21,,,,,,,,0.0,277.0,223.0,1.0,False
402926,285023_43922,Gonzalo Montiel,Argentina,DF,0,1,0,1,0,0,0.15,0.0,0,0,1,8,4,2,0,1,0,0,0,27,85,0,0,0,0,0,0,,,,15,6,6,3,1,14,1,3,8,59,3.17,87,26,7543.26,,,,,,,,0.0,72.0,733.0,0.0,False
402921,285023_43922,Lisandro Martinez,Argentina,DF,1,1,100,1,0,0,0.09,11.61,0,0,3,6,1,1,0,0,0,0,0,258,97,0,0,7,71,1,100,,,,24,0,0,24,9,15,0,1,45,525,3.88,211,64,29633.6,62.0,197.0,207.0,5.695140838623047,5.422027111053467,5.604507446289063,,1.0,342.0,73.0,1.0,True
402934,285023_43922,Marcos Senesi,Argentina,DF,0,2,0,2,0,1,0.84,0.0,0,0,0,3,2,0,2,0,0,0,0,73,96,0,0,1,0,0,0,,,,12,0,1,11,2,10,1,1,7,155,1.41,86,25,9406.52,,,,,,,,0.0,100.0,801.0,0.0,False
402925,285023_43922,Nahuel Molina,Argentina,DF,0,0,0,0,0,0,0.0,0.0,0,0,20,55,13,2,0,0,0,0,1,128,86,3,0,4,50,1,100,,,,122,45,52,25,24,98,3,29,51,265,4.51,266,108,26893.74,,,,,,,,0.0,270.0,1071.0,0.0,False
310116,285023_43922,Nicolas Otamendi,Argentina,DF,0,1,0,1,0,1,0.07,0.0,0,0,1,12,7,3,0,0,0,0,1,138,96,0,0,1,100,1,100,,,,20,0,0,20,8,12,0,1,16,279,4.3,165,40,14946.7,212.0,88.0,225.0,4.683017253875732,6.076232433319092,5.505123615264893,,0.0,156.0,913.0,0.0,True
308322,285023_43922,Nicolas Tagliafico,Argentina,DF,0,0,0,0,0,0,0.0,0.0,0,0,3,24,5,1,5,0,0,0,1,81,91,1,100,3,33,0,0,,,,60,19,15,26,10,50,2,12,17,158,4.67,191,57,16660.3,,,,,,,,0.0,165.0,925.0,0.0,False
485595,285023_43922,Giuliano Simeone,Argentina,FW,0,0,0,0,0,0,0.0,0.0,0,0,4,9,3,1,0,0,0,0,0,37,95,2,0,2,100,0,0,,,,38,15,20,3,12,26,2,23,23,84,1.64,102,40,8279.41,,,,,,,,0.0,75.0,741.0,0.0,False
495054,285023_43922,Jose Manuel Lopez,Argentina,FW,0,1,0,1,0,0,0.04,0.0,0,0,2,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,5,5,0,0,4,1,0,3,3,4,1.62,22,11,1465.77,,,,,,,,0.0,13.0,550.0,0.0,False
416081,285023_43922,Julian Alvarez,Argentina,FW,2,3,0,3,0,0,0.69,0.0,0,0,18,95,10,2,0,0,0,0,0,72,83,1,0,1,0,0,0,,,,120,44,50,26,83,37,2,47,44,174,6.29,290,125,24301.65,,,,,,,,0.0,232.0,1026.0,0.0,False
402920,285023_43922,Lautaro Martinez,Argentina,FW,2,4,25,3,1,0,1.03,0.97,0,0,21,149,17,7,2,0,0,0,2,58,88,1,0,2,50,0,0,,,,132,61,61,10,99,33,3,38,43,141,6.27,279,110,27335.99,,,,,,,,1.0,262.0,125.0,0.0,False
229397,285023_43922,Lionel Messi,Argentina,FW,16,24,29,12,12,0,4.57,1.53,14,0,10,77,14,2,11,0,0,0,2,147,78,14,43,15,87,3,67,,,,122,22,70,30,86,36,3,77,87,381,4.56,231,96,27595.27,2.0,332.0,34.0,8.222007751464844,4.768415927886963,6.673081398010254,,7.0,361.0,2.0,0.0,True
441422,285023_43922,Nico Paz,Argentina,FW,0,1,0,0,1,0,0.08,0.0,0,0,7,44,6,2,1,0,0,0,0,56,96,1,0,2,100,2,100,,,,73,7,47,19,50,23,0,12,51,125,3.48,110,39,9189.47,,,,,,,,0.0,81.0,755.0,0.0,False
418975,285023_43922,Thiago Almada,Argentina,FW,0,2,0,0,2,0,0.13,0.0,0,0,25,65,10,1,2,0,0,0,2,142,90,0,0,1,0,1,100,,,,156,37,82,37,116,40,1,43,84,305,7.09,325,127,27791.83,,,,,,,,0.0,232.0,1028.0,0.0,False
308300,285023_43922,Emiliano Martinez,Argentina,GK,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,119,82,0,0,2,50,0,0,4.0,50.0,43.0,18,0,0,18,11,7,0,0,0,227,2.68,35,5,19793.07,,,,,,,,0.0,442.0,1268.0,0.0,False
394824,285023_43922,Geronimo Rulli,Argentina,GK,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,261.0,0.0,False
430624,285023_43922,Juan Musso,Argentina,GK,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,,,,0.0,False
430628,285023_43922,Alexis Mac Allister,Argentina,MF,1,4,0,3,1,2,0.44,0.0,0,0,13,107,24,5,6,0,0,0,0,266,93,0,0,1,0,2,100,,,,90,6,23,61,72,18,1,13,102,558,6.21,440,94,39277.88,,,,,,,,0.0,377.0,247.0,1.0,False
448252,285023_43922,Enzo Fernandez,Argentina,MF,2,6,0,3,3,1,0.5,0.0,0,0,8,80,8,4,4,0,0,0,0,250,92,2,0,10,80,5,80,,,,167,23,66,78,99,68,2,49,70,542,4.89,491,156,37226.27,,,,,,,,0.0,342.0,1189.0,0.0,False
389485,285023_43922,Exequiel Palacios,Argentina,MF,0,0,0,0,0,0,0.0,0.0,0,0,1,5,1,1,1,0,0,0,0,94,95,0,0,0,0,0,0,,,,18,3,4,11,7,11,1,4,21,190,1.5,113,37,10029.01,,,,,,,,0.0,100.0,801.0,0.0,False
395414,285023_43922,Giovani Lo Celso,Argentina,MF,1,1,100,0,1,0,0.15,6.61,1,0,8,23,6,1,1,0,0,0,1,51,92,1,100,0,0,0,0,,,,46,4,22,20,31,15,0,7,27,108,1.74,123,23,7525.5,,,,,,,,1.0,64.0,86.0,0.0,False
