player_id,team_id,player_name,team,position,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,source_tab,story_id,classification
483535,285023_43961,Egil Selvik,Norway,GK,5,25,22,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:1,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:1
360496,285023_43970,Kristoffer Nordfeldt,Sweden,GK,4,22,20,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:1,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:1
389879,285023_43843,Luca Zidane,Algeria,GK,6,22,20,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
448217,285023_43921,Matt Turner,USA,GK,0,21,17,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
489685,285023_43970,Jacob Widell Zetterstrom,Sweden,GK,2,20,15,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
448821,285023_43879,Mory Diaw,Senegal,GK,1,19,15,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
499913,285023_43921,Matt Freese,USA,GK,3,17,15,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
477817,285023_43843,Oussama Benbot,Algeria,GK,0,14,13,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
386473,285023_43860,Lawrence Ati Zigi,Ghana,GK,1,9,8,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
368664,285023_43930,Sergio Rochet,Uruguay,GK,0,7,5,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
215285,285023_43911,Guillermo Ochoa,Mexico,GK,0,3,3,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
441260,285023_43911,Carlos Acevedo,Mexico,GK,0,0,0,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
267702,285023_43914,Luis Mejia,Panama,GK,0,0,0,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
441402,285023_43914,Cesar Samudio,Panama,GK,0,0,0,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
402897,285023_43930,Santiago Mele,Uruguay,GK,0,0,0,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
464546,285023_43921,Chris Brady,USA,GK,0,0,0,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
394824,285023_43922,Geronimo Rulli,Argentina,GK,0,0,0,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
430624,285023_43922,Juan Musso,Argentina,GK,0,0,0,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
395427,285023_43924,Ederson,Brazil,GK,0,0,0,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
396315,285023_43924,Weverton,Brazil,GK,0,0,0,goalkeeping,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2,urn:gd:story:classification:gcp_goalkeeping:competitionId:285023:goalkeeper_defensive_actions_inside_penalty_area:rank_asc:page:2
