player_id,player_name,team_id,team,attacking_rank,defensive_rank,creativity_rank,attacking_score,defensive_score,creativity_score,competition_stage,source_tab,story_id,classification
430476,OMAR MARMOUSH,43855,Egypt,174.0,315.0,54.0,4.803040504455566,4.883936405181885,6.3582963943481445,Round of 16,power_rankings,,
428885,Moises CAICEDO,43927,Ecuador,286.0,95.0,181.0,4.5187907218933105,6.039599895477295,5.7077484130859375,Round of 16,power_rankings,,
483526,Tijjani REIJNDERS,43960,Netherlands,153.0,314.0,76.0,4.886405944824219,4.885438919067383,6.238072872161865,Round of 16,power_rankings,,
448152,Cody GAKPO,43960,Netherlands,13.0,297.0,58.0,6.587228298187256,4.967573642730713,6.3269877433776855,Round of 16,power_rankings,,
406280,Sergino DEST,43921,USA,150.0,225.0,51.0,4.897633075714111,5.341058254241943,6.382874965667725,Round of 16,power_rankings,,
419177,William SALIBA,43946,France,315.0,17.0,356.0,4.421422481536865,6.890011787414551,4.469353199005127,Round of 16,power_rankings,,
405522,Keito Nakamura,43819,Japan,59.0,261.0,57.0,5.704461097717285,5.182394027709961,6.340290546417236,Round of 16,power_rankings,,
448202,Jude BELLINGHAM,43942,England,19.0,130.0,113.0,6.400023460388184,5.8106536865234375,5.99330997467041,Round of 16,power_rankings,,
371958,Derek CORNELIUS,43899,Canada,307.0,18.0,302.0,4.456068992614746,6.883890628814697,5.126347064971924,Round of 16,power_rankings,,
441342,Abdul FATAWU,43860,Ghana,99.0,238.0,42.0,5.3341383934021,5.284966468811035,6.5536041259765625,Round of 16,power_rankings,,
430751,Mikel OYARZABAL,43969,Spain,11.0,158.0,300.0,6.6414923667907715,5.6382927894592285,5.141247272491455,Round of 16,power_rankings,,
441257,Jonathan DAVID,43899,Canada,54.0,322.0,195.0,5.797469139099121,4.8513054847717285,5.654051780700684,Round of 16,power_rankings,,
485760,Ayyoub BOUADDI,43872,Morocco,217.0,44.0,278.0,4.67138671875,6.424352169036865,5.226677894592285,Round of 16,power_rankings,,
430831,Ibrahim SANGARE,43854,Côte d'Ivoire,173.0,84.0,140.0,4.811943054199219,6.108033180236816,5.878201484680176,Round of 16,power_rankings,,
344654,MOHAMED SALAH,43855,Egypt,52.0,290.0,24.0,5.831484794616699,5.0023980140686035,6.850352764129639,Round of 16,power_rankings,,
430718,Fabian RUIZ,43969,Spain,175.0,71.0,48.0,4.798928737640381,6.202205181121826,6.4185333251953125,Round of 16,power_rankings,,
463780,Nico OREILLY,43942,England,279.0,63.0,212.0,4.534195423126221,6.27913761138916,5.580386161804199,Round of 16,power_rankings,,
424031,Piero HINCAPIE,43927,Ecuador,364.0,98.0,358.0,3.4785237312316895,6.015414714813232,4.42781400680542,Round of 16,power_rankings,,
448362,Charles DE KETELAERE,43935,Belgium,198.0,81.0,56.0,4.733177185058594,6.1466064453125,6.34481143951416,Round of 16,power_rankings,,
379955,Antonio RUEDIGER,43948,Germany,290.0,92.0,331.0,4.505339622497559,6.062807559967041,4.97088098526001,Round of 16,power_rankings,,
419020,Gonzalo PLATA,43927,Ecuador,82.0,208.0,166.0,5.518710136413574,5.39370584487915,5.769846439361572,Round of 16,power_rankings,,
418548,PEDRO NETO,43963,Portugal,253.0,203.0,96.0,4.5997090339660645,5.407835483551025,6.126350402832031,Round of 16,power_rankings,,
483448,Antonio NUSA,43961,Norway,28.0,294.0,72.0,6.1674017906188965,4.986365795135498,6.248663902282715,Round of 16,power_rankings,,
441252,Alistair JOHNSTON,43899,Canada,260.0,20.0,33.0,4.583779335021973,6.848737716674805,6.67397928237915,Round of 16,power_rankings,,
463465,Joel ORDONEZ,43927,Ecuador,257.0,91.0,303.0,4.589097499847412,6.064785957336426,5.115680694580078,Round of 16,power_rankings,,
430733,Mikel MERINO,43969,Spain,179.0,90.0,187.0,4.787691593170166,6.069309234619141,5.676727294921875,Round of 16,power_rankings,,
407343,Ghislain KONAN,43854,Côte d'Ivoire,170.0,181.0,81.0,4.817397594451904,5.489213466644287,6.1847662925720215,Round of 16,power_rankings,,
419518,Erik LIRA,43911,Mexico,294.0,87.0,221.0,4.4925761222839355,6.079370498657227,5.541401386260986,Round of 16,power_rankings,,
431200,Daniel MUNOZ,43926,Colombia,27.0,51.0,208.0,6.178657531738281,6.374165058135986,5.598361492156982,Round of 16,power_rankings,,
448355,Leandro TROSSARD,43935,Belgium,45.0,192.0,27.0,5.911190509796143,5.435470104217529,6.809418678283691,Round of 16,power_rankings,,
448612,Bilal EL KHANNOUSS,43872,Morocco,185.0,139.0,79.0,4.778095245361328,5.755778789520264,6.214325428009033,Round of 16,power_rankings,,
485740,Neil EL AYNAOUI,43872,Morocco,317.0,10.0,349.0,4.417823314666748,7.098959922790527,4.688016414642334,Round of 16,power_rankings,,
390267,Christian PULISIC,43921,USA,86.0,194.0,4.0,5.478114604949951,5.424500942230225,7.277455806732178,Round of 16,power_rankings,,
430407,Daizen MAEDA,43819,Japan,77.0,327.0,84.0,5.563324451446533,4.825092315673828,6.165918827056885,Round of 16,power_rankings,,
520036,Paul WANNER,43934,Austria,152.0,229.0,87.0,4.892434120178223,5.320657253265381,6.158866882324219,Round of 16,power_rankings,,
475036,RAYAN,43924,Brazil,157.0,216.0,85.0,4.864964962005615,5.364741802215576,6.164356231689453,Round of 16,power_rankings,,
358122,Thomas MEUNIER,43935,Belgium,132.0,58.0,71.0,4.9654011726379395,6.329032897949219,6.249011516571045,Round of 16,power_rankings,,
379942,Riyad Mahrez,43843,Algeria,34.0,339.0,119.0,6.1008453369140625,4.7276177406311035,5.95392370223999,Round of 16,power_rankings,,
448341,Jeremy DOKU,43935,Belgium,106.0,335.0,9.0,5.278663158416748,4.7487406730651855,7.0913615226745605,Round of 16,power_rankings,,
464542,Alex FREEMAN,43921,USA,70.0,27.0,52.0,5.60806941986084,6.666411876678467,6.381701946258545,Round of 16,power_rankings,,
430070,Ante BUDIMIR,43938,Croatia,60.0,316.0,288.0,5.6973395347595215,4.881691932678223,5.199741840362549,Round of 16,power_rankings,,
358120,Kevin DE BRUYNE,43935,Belgium,100.0,253.0,14.0,5.322052001953125,5.211991786956787,7.029524326324463,Round of 16,power_rankings,,
433195,NUNO MENDES,43963,Portugal,112.0,64.0,70.0,5.237975120544434,6.270987510681152,6.257235050201416,Round of 16,power_rankings,,
403083,Issa Diop,43872,Morocco,93.0,35.0,359.0,5.412150859832764,6.564397811889648,4.400058269500732,Round of 16,power_rankings,,
489520,Nikola KATIC,44037,Bosnia and Herzegovina,270.0,38.0,319.0,4.559045314788818,6.49147891998291,5.0436015129089355,Round of 16,power_rankings,,
506039,Ime OKON,43883,South Africa,308.0,93.0,341.0,4.455293655395508,6.0618205070495605,4.824283123016357,Round of 16,power_rankings,,
463902,Gustavo PUERTA,43926,Colombia,149.0,74.0,131.0,4.904052734375,6.179779529571533,5.905455112457275,Round of 16,power_rankings,,
463283,Romano SCHMID,43934,Austria,75.0,352.0,215.0,5.577136993408203,4.531900405883789,5.564599514007568,Round of 16,power_rankings,,
395113,Ramy BENSEBAINI,43843,Algeria,313.0,67.0,316.0,4.425076007843018,6.237029552459717,5.059248447418213,Round of 16,power_rankings,,
441234,Julio ENCISO,43928,Paraguay,21.0,333.0,17.0,6.3416924476623535,4.761114120483398,6.978664875030518,Round of 16,power_rankings,,
448214,Malik TILLMAN,43921,USA,80.0,80.0,43.0,5.526668548583984,6.153729438781738,6.534445285797119,Round of 16,power_rankings,,
