player_id,team_id,player_name,team,position,assists,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,source_tab,story_id,classification
504193,285023_43883,Tshepang Moremi,South Africa,FW,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
448607,285023_43872,Chadi Riad,Morocco,DF,1,0,1,0,1,0,1,0.12,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
430854,285023_43854,Wilfried Singo,Côte d'Ivoire,DF,1,0,2,0,2,0,0,0.14,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
418795,285023_43879,Nicolas Jackson,Senegal,FW,1,3,7,0,7,0,2,0.27,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
433426,285023_43872,Soufiane Rahimi,Morocco,FW,1,1,2,50,2,0,1,0.22,4.59x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
359381,285023_43938,Ivan Perisic,Croatia,FW,1,0,0,0,0,0,0,0.0,0x,2,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
492363,285023_43948,Felix Nmecha,Germany,MF,1,3,8,13,3,5,0,0.49,2.04x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
483526,285023_43960,Tijjani Reijnders,Netherlands,MF,1,2,4,0,3,1,0,0.48,0x,10,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
448152,285023_43960,Cody Gakpo,Netherlands,FW,1,5,9,22,7,2,2,1.17,1.7x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
418548,285023_43963,Pedro Neto,Portugal,FW,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
