player_id,team_id,player_name,team,position,assists_x,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,goals,assists_y,total_competition_minutes_played,fdcp_top_scorer_rank
448346,285023_43935,Arthur Theate,Belgium,DF,0,0,0,0,0,0,0,0.0,0x,0,0,1,0,0,0,0,0,0,0,0,9,100,0,0,0,0,0,0,,,,6.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,2.0,17.0,3.39,22.0,9.0,2586.89,0.0,0.0,22.0,589.0
448355,285023_43935,Leandro Trossard,Belgium,FW,0,1,4,0,2,2,0,0.18,0x,0,0,12,51,5,1,3,0,0,0,1,91,91,6,50,4,75,1,100,,,,80.0,27.0,36.0,17.0,40.0,40.0,2.0,48.0,50.0,225.0,6.58,273.0,88.0,22229.36,0.0,0.0,202.0,1062.0
448360,285023_43935,Brandon Mechele,Belgium,DF,0,1,3,0,3,0,2,0.28,0x,0,0,6,17,4,3,1,0,0,0,0,142,92,0,0,1,0,0,0,,,,40.0,5.0,2.0,33.0,20.0,20.0,1.0,3.0,22.0,302.0,6.32,248.0,78.0,21334.39,0.0,0.0,202.0,1062.0
448362,285023_43935,Charles De Ketelaere,Belgium,FW,0,0,0,0,0,0,0,0.0,0x,0,0,0,16,1,0,1,0,0,0,0,23,87,0,0,2,100,0,0,,,,32.0,19.0,13.0,0.0,22.0,10.0,4.0,14.0,16.0,51.0,3.22,78.0,34.0,7497.83,0.0,0.0,69.0,748.0
448363,285023_43908,Hannes Delcroix,Haiti,DF,0,0,0,0,0,0,0,0.0,0x,0,0,9,21,9,1,2,0,0,0,0,151,97,1,0,2,50,1,100,,,,11.0,0.0,2.0,9.0,3.0,8.0,0.0,0.0,16.0,302.0,5.87,298.0,89.0,30006.24,0.0,0.0,306.0,1244.0
448364,285023_43935,Amadou Onana,Belgium,MF,0,0,0,0,0,0,0,0.0,0x,0,0,12,12,4,1,3,0,0,0,0,37,84,0,0,0,0,0,0,,,,21.0,1.0,10.0,10.0,15.0,6.0,0.0,5.0,16.0,81.0,3.22,69.0,20.0,6466.48,0.0,0.0,60.0,720.0
448366,285023_43935,Koni De Winter,Belgium,DF,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
448369,285023_43935,Zeno Debast,Belgium,DF,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
448373,285023_43935,Maxim De Cuyper,Belgium,DF,0,4,5,0,4,1,0,0.72,0x,1,0,4,8,3,2,1,1,0,0,0,77,83,3,0,1,100,0,0,,,,27.0,13.0,7.0,7.0,12.0,15.0,3.0,14.0,22.0,167.0,6.53,195.0,64.0,15525.4,0.0,0.0,142.0,919.0
448377,285023_43935,Dodi Lukebakio,Belgium,FW,0,1,2,0,0,2,0,0.07,0x,0,0,1,12,0,0,1,0,0,0,0,10,90,2,0,3,67,0,0,,,,22.0,13.0,6.0,3.0,14.0,8.0,1.0,7.0,7.0,32.0,3.33,50.0,27.0,4193.43,0.0,0.0,37.0,643.0
