player_id,team_id,player_name,team,position,avg_speed,speed_runs,sprints,total_distance,source_tab,story_id,classification
390196,285023_43978,Callum Mccowatt,New Zealand,MF,7.24,269,91,17205.4,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
483497,285023_43961,Fredrik Aursnes,Norway,MF,7.24,395,121,26808.54,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
441350,285023_43843,Hicham Boudaoui,Algeria,MF,7.24,200,64,14230.46,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
405639,285023_43817,Amirhossein Hosseinzadeh,IR Iran,FW,7.23,47,17,3200.06,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
418975,285023_43922,Thiago Almada,Argentina,FW,7.23,177,74,15652.61,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
448343,285023_43935,Hans Vanaken,Belgium,MF,7.21,81,17,5676.68,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
358122,285023_43935,Thomas Meunier,Belgium,DF,7.21,265,113,19910.92,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
483161,285023_43855,Mostafa Zico,Egypt,MF,7.19,268,96,19116.69,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
336098,285023_43960,Memphis Depay,Netherlands,FW,7.19,137,50,8184.41,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
511875,285023_43820,Odeh Fakhoury,Jordan,FW,7.18,197,76,13146.1,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
433361,285023_43888,Anis Slimane,Tunisia,MF,7.16,408,123,30657.94,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
433668,285023_43995,Michal Sadilek,Czechia,MF,7.16,385,125,24212.55,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
430733,285023_43969,Mikel Merino,Spain,MF,7.16,119,30,7333.76,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
442434,285023_43967,Lewis Ferguson,Scotland,MF,7.16,451,119,36575.01,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
