player_id,team_id,player_name,team,position,goals,assists,total_competition_minutes_played,fdcp_top_scorer_rank,source_tab,story_id,classification
486213,285023_43860,Brandon Thomas Asante,Ghana,FW,0,1,43,143,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2
403293,285023_43819,Koki Ogawa,Japan,FW,0,1,52,144,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2
448196,285023_43942,Bukayo Saka,England,FW,0,1,55,145,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2
370171,285023_43879,Abdoulaye Seck,Senegal,DF,0,1,66,146,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2
336098,285023_43960,Memphis Depay,Netherlands,FW,0,1,68,147,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2
430631,285023_43922,Nico Gonzalez,Argentina,MF,0,1,73,148,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2
403304,285023_43819,Takefusa Kubo,Japan,MF,0,1,77,149,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2
430750,285023_43969,Dani Olmo,Spain,FW,0,1,80,150,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2
390267,285023_43921,Christian Pulisic,USA,FW,0,1,91,151,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2
448310,285023_43927,Kevin Rodriguez,Ecuador,FW,0,1,105,152,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2
