player_id,team_id,player_name,team,position,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,source_tab,story_id,classification
464542,285023_43921,Alex Freeman,USA,DF,63,4,19,40,15,48,1,12,47,318,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
481183,285023_43818,Akam Hashim,Iraq,DF,15,0,2,13,6,9,1,0,18,317,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
402817,285023_43822,Paik Seungho,Korea Republic,MF,134,4,43,87,92,42,1,10,67,317,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
398680,285023_43946,Ousmane Dembele,France,FW,48,15,21,12,26,22,3,39,24,317,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
514166,285023_43935,Nathan Ngoy,Belgium,DF,9,0,0,9,7,2,0,0,21,316,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
401339,285023_43967,Andy Robertson,Scotland,DF,59,17,27,15,8,51,2,24,42,316,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
448171,285023_43938,Josip Sutalo,Croatia,DF,13,0,0,13,10,3,0,2,32,315,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
431696,285023_43899,Richie Laryea,Canada,DF,84,32,28,24,35,49,6,18,36,315,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
411726,285023_43924,Lucas Paqueta,Brazil,MF,150,12,78,60,86,64,0,13,57,313,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
400514,285023_43819,Ao Tanaka,Japan,MF,112,2,30,80,97,15,0,6,30,312,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
484141,285023_43963,Joao Neves,Portugal,MF,108,35,34,39,81,27,2,22,57,311,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
418715,285023_43914,Jose Cordoba,Panama,DF,34,0,2,32,22,12,0,4,22,309,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
403616,285023_43883,Teboho Mokoena,South Africa,MF,110,7,37,66,65,45,0,5,55,308,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
